"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":8570},{""page_index"":1,""viewing_time"":5798},{""page_index"":2,""viewing_time"":2728}]","17097","instructions","0","17098","0.0-0.0","A3G3G7SCD88G1J","1649939145717","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13052},{""page_index"":1,""viewing_time"":11463},{""page_index"":2,""viewing_time"":12230},{""page_index"":3,""viewing_time"":14095},{""page_index"":4,""viewing_time"":10734},{""page_index"":5,""viewing_time"":6055},{""page_index"":6,""viewing_time"":12782},{""page_index"":7,""viewing_time"":15662},{""page_index"":8,""viewing_time"":2744}]","98818","instructions","1","115917","0.0-1.0","A3G3G7SCD88G1J","1649939145717","","","","","","","","","","","","","","","","",""
"","58335","darkroom-dig","2","174256","0.0-2.0-0.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R0-X0-Y1"",""clickable-R0-X0-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X2-Y0"",""clickable-R1-X2-Y0"",""clickable-R1-X1-Y1"",""clickable-R1-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","57676","darkroom-dig","3","231933","0.0-2.0-1.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R0-X0-Y1"",""clickable-R0-X1-Y0"",""clickable-R0-X1-Y2"",""clickable-R0-X1-Y1"",""clickable-R1-X0-Y1"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y1"",""clickable-R1-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","26979","darkroom-dig","4","258915","0.0-2.0-2.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R0-X1-Y2"",""clickable-R0-X2-Y1"",""clickable-R1-X1-Y2"",""clickable-R1-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","36192","darkroom-dig","5","295109","0.0-2.0-3.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R1-X0-Y2"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y0"",""clickable-R0-X0-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","37529","darkroom-dig","6","332641","0.0-2.0-4.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X0-Y0"",""clickable-R0-X2-Y2"",""clickable-R0-X0-Y0"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","28698","darkroom-dig","7","361341","0.0-2.0-5.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R1-X2-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X0-Y2"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png""]","false","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","26179","darkroom-dig","8","387521","0.0-2.0-6.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R1-X0-Y1"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X0-Y1"",""clickable-R0-X1-Y2"",""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","21923","darkroom-dig","9","409447","0.0-2.0-7.0","A3G3G7SCD88G1J","1649939145717","[""clickable-R1-X2-Y2"",""clickable-R1-X1-Y1"",""clickable-R1-X0-Y0"",""clickable-R0-X2-Y2"",""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
