"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":519502},{""page_index"":1,""viewing_time"":1504},{""page_index"":2,""viewing_time"":820}]","521826","instructions","0","521827","0.0-0.0","A3I1W58P6SIV26","1650919073401","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":29986},{""page_index"":1,""viewing_time"":285931},{""page_index"":2,""viewing_time"":6062},{""page_index"":3,""viewing_time"":7805},{""page_index"":4,""viewing_time"":3723},{""page_index"":5,""viewing_time"":1654},{""page_index"":6,""viewing_time"":1883},{""page_index"":7,""viewing_time"":1788},{""page_index"":8,""viewing_time"":1622}]","340454","instructions","1","862281","0.0-1.0","A3I1W58P6SIV26","1650919073401","","","","","","","","","","","","","","","","",""
"","18237","darkroom-dig","2","880519","0.0-2.0-0.0","A3I1W58P6SIV26","1650919073401","[""clickable-R0-X2-Y0"",""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","14978","darkroom-dig","3","895497","0.0-2.0-1.0","A3I1W58P6SIV26","1650919073401","[""clickable-R1-X0-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","22022","darkroom-dig","4","917519","0.0-2.0-2.0","A3I1W58P6SIV26","1650919073401","[""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","7962","darkroom-dig","5","925481","0.0-2.0-3.0","A3I1W58P6SIV26","1650919073401","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","16182","darkroom-dig","6","941663","0.0-2.0-4.0","A3I1W58P6SIV26","1650919073401","[""clickable-R1-X2-Y1"",""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","13077","darkroom-dig","7","954741","0.0-2.0-5.0","A3I1W58P6SIV26","1650919073401","[""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","34293","darkroom-dig","8","989035","0.0-2.0-6.0","A3I1W58P6SIV26","1650919073401","[""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","19031","darkroom-dig","9","1008067","0.0-2.0-7.0","A3I1W58P6SIV26","1650919073401","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
