"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":12351},{""page_index"":1,""viewing_time"":5577},{""page_index"":2,""viewing_time"":1887}]","19816","instructions","0","19816","0.0-0.0","A3N0QZ9ZKUCTCQ","1650920495840","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":15055},{""page_index"":1,""viewing_time"":9017},{""page_index"":2,""viewing_time"":11942},{""page_index"":3,""viewing_time"":13824},{""page_index"":4,""viewing_time"":5696},{""page_index"":5,""viewing_time"":3376},{""page_index"":6,""viewing_time"":6248},{""page_index"":7,""viewing_time"":7352},{""page_index"":8,""viewing_time"":2608}]","75118","instructions","1","94935","0.0-1.0","A3N0QZ9ZKUCTCQ","1650920495840","","","","","","","","","","","","","","","","",""
"","58592","darkroom-dig","2","153528","0.0-2.0-0.0","A3N0QZ9ZKUCTCQ","1650920495840","[""clickable-R0-X0-Y1"",""clickable-R0-X2-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X0-Y0"",""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y0"",""clickable-R1-X2-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","30735","darkroom-dig","3","184264","0.0-2.0-1.0","A3N0QZ9ZKUCTCQ","1650920495840","[""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","28831","darkroom-dig","4","213096","0.0-2.0-2.0","A3N0QZ9ZKUCTCQ","1650920495840","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","29663","darkroom-dig","5","242759","0.0-2.0-3.0","A3N0QZ9ZKUCTCQ","1650920495840","[""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y1"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","33855","darkroom-dig","6","276615","0.0-2.0-4.0","A3N0QZ9ZKUCTCQ","1650920495840","[""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X1-Y1"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","24311","darkroom-dig","7","300928","0.0-2.0-5.0","A3N0QZ9ZKUCTCQ","1650920495840","[""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","23711","darkroom-dig","8","324639","0.0-2.0-6.0","A3N0QZ9ZKUCTCQ","1650920495840","[""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map4.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","9326","darkroom-dig","9","333967","0.0-2.0-7.0","A3N0QZ9ZKUCTCQ","1650920495840","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":9559}]","9561","instructions","10","343529","0.0-3.0","A3N0QZ9ZKUCTCQ","1650920495840","","","","","","","","","","","","","","","","",""
