"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":2384},{""page_index"":1,""viewing_time"":3069},{""page_index"":2,""viewing_time"":942}]","6396","instructions","0","6397","0.0-0.0","A3O7X46E3REM7I","1650917855813","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1907},{""page_index"":1,""viewing_time"":1508},{""page_index"":2,""viewing_time"":4247},{""page_index"":3,""viewing_time"":5806},{""page_index"":4,""viewing_time"":15957},{""page_index"":5,""viewing_time"":2188},{""page_index"":6,""viewing_time"":11369},{""page_index"":7,""viewing_time"":8068},{""page_index"":8,""viewing_time"":4091}]","55141","instructions","1","61538","0.0-1.0","A3O7X46E3REM7I","1650917855813","","","","","","","","","","","","","","","","",""
"","18420","darkroom-dig","2","79960","0.0-2.0-0.0","A3O7X46E3REM7I","1650917855813","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","12544","darkroom-dig","3","92504","0.0-2.0-1.0","A3O7X46E3REM7I","1650917855813","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","14778","darkroom-dig","4","107283","0.0-2.0-2.0","A3O7X46E3REM7I","1650917855813","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","9993","darkroom-dig","5","117277","0.0-2.0-3.0","A3O7X46E3REM7I","1650917855813","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","16816","darkroom-dig","6","134093","0.0-2.0-4.0","A3O7X46E3REM7I","1650917855813","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","17945","darkroom-dig","7","152039","0.0-2.0-5.0","A3O7X46E3REM7I","1650917855813","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","12295","darkroom-dig","8","164334","0.0-2.0-6.0","A3O7X46E3REM7I","1650917855813","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","32871","darkroom-dig","9","197205","0.0-2.0-7.0","A3O7X46E3REM7I","1650917855813","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map6.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
