"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":26648},{""page_index"":1,""viewing_time"":9542},{""page_index"":2,""viewing_time"":2846}]","39036","instructions","0","39037","0.0-0.0","A3RR85PK3AV9TU","1650917352951","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":17468},{""page_index"":1,""viewing_time"":20828},{""page_index"":2,""viewing_time"":30232},{""page_index"":3,""viewing_time"":16539},{""page_index"":4,""viewing_time"":15529},{""page_index"":5,""viewing_time"":11528},{""page_index"":6,""viewing_time"":20539},{""page_index"":7,""viewing_time"":16179},{""page_index"":8,""viewing_time"":2701}]","151543","instructions","1","190581","0.0-1.0","A3RR85PK3AV9TU","1650917352951","","","","","","","","","","","","","","","","",""
"","43945","darkroom-dig","2","234528","0.0-2.0-0.0","A3RR85PK3AV9TU","1650917352951","[""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","20818","darkroom-dig","3","255347","0.0-2.0-1.0","A3RR85PK3AV9TU","1650917352951","[""clickable-R0-X2-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","23421","darkroom-dig","4","278769","0.0-2.0-2.0","A3RR85PK3AV9TU","1650917352951","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","11533","darkroom-dig","5","290303","0.0-2.0-3.0","A3RR85PK3AV9TU","1650917352951","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","12684","darkroom-dig","6","302987","0.0-2.0-4.0","A3RR85PK3AV9TU","1650917352951","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","15047","darkroom-dig","7","318034","0.0-2.0-5.0","A3RR85PK3AV9TU","1650917352951","[""clickable-R1-X1-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","14306","darkroom-dig","8","332340","0.0-2.0-6.0","A3RR85PK3AV9TU","1650917352951","[""clickable-R1-X0-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","14303","darkroom-dig","9","346643","0.0-2.0-7.0","A3RR85PK3AV9TU","1650917352951","[""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
