"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":1686},{""page_index"":1,""viewing_time"":41772},{""page_index"":2,""viewing_time"":1136}]","44595","instructions","0","44595","0.0-0.0","A7R1OLLU1Z6RA","1650917200965","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":13679},{""page_index"":1,""viewing_time"":20275},{""page_index"":2,""viewing_time"":8176},{""page_index"":3,""viewing_time"":20208},{""page_index"":4,""viewing_time"":13239},{""page_index"":5,""viewing_time"":7642},{""page_index"":6,""viewing_time"":6878},{""page_index"":7,""viewing_time"":7058},{""page_index"":8,""viewing_time"":1692}]","98847","instructions","1","143442","0.0-1.0","A7R1OLLU1Z6RA","1650917200965","","","","","","","","","","","","","","","","",""
"","33629","darkroom-dig","2","177074","0.0-2.0-0.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""clickable-R1-X1-Y0"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y1"",""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","21561","darkroom-dig","3","198636","0.0-2.0-1.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y0"",""clickable-R1-X0-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","11804","darkroom-dig","4","210441","0.0-2.0-2.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","15286","darkroom-dig","5","225728","0.0-2.0-3.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""clickable-R1-X0-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","11404","darkroom-dig","6","237134","0.0-2.0-4.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X0-Y1"",""clickable-R1-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","13954","darkroom-dig","7","251089","0.0-2.0-5.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X0-Y1"",""clickable-R1-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","18893","darkroom-dig","8","269984","0.0-2.0-6.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","13484","darkroom-dig","9","283470","0.0-2.0-7.0","A7R1OLLU1Z6RA","1650917200965","[""clickable-R1-X1-Y1"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y0"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":2724}]","2725","instructions","10","286196","0.0-3.0","A7R1OLLU1Z6RA","1650917200965","","","","","","","","","","","","","","","","",""
