"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":7896},{""page_index"":1,""viewing_time"":4480},{""page_index"":2,""viewing_time"":5561}]","17938","instructions","0","17939","0.0-0.0","A87D3K9YVKTQ7","1650919225072","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":32370},{""page_index"":1,""viewing_time"":10724},{""page_index"":2,""viewing_time"":12790},{""page_index"":3,""viewing_time"":5678},{""page_index"":4,""viewing_time"":3181},{""page_index"":5,""viewing_time"":4630},{""page_index"":6,""viewing_time"":17636},{""page_index"":7,""viewing_time"":9125},{""page_index"":8,""viewing_time"":3180}]","99314","instructions","1","117254","0.0-1.0","A87D3K9YVKTQ7","1650919225072","","","","","","","","","","","","","","","","",""
"","30703","darkroom-dig","2","147958","0.0-2.0-0.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","25495","darkroom-dig","3","173455","0.0-2.0-1.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","14964","darkroom-dig","4","188420","0.0-2.0-2.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","25130","darkroom-dig","5","213550","0.0-2.0-3.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","9012","darkroom-dig","6","222564","0.0-2.0-4.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R1-X0-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","41314","darkroom-dig","7","263878","0.0-2.0-5.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","20311","darkroom-dig","8","284191","0.0-2.0-6.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R0-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","13449","darkroom-dig","9","297641","0.0-2.0-7.0","A87D3K9YVKTQ7","1650919225072","[""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
