"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":9603},{""page_index"":1,""viewing_time"":10792},{""page_index"":2,""viewing_time"":3584}]","23980","instructions","0","23981","0.0-0.0","ABX5OQLR6UNBC","1650917453195","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":23543},{""page_index"":1,""viewing_time"":16576},{""page_index"":2,""viewing_time"":16096},{""page_index"":3,""viewing_time"":26841},{""page_index"":4,""viewing_time"":13328},{""page_index"":5,""viewing_time"":10736},{""page_index"":6,""viewing_time"":12039},{""page_index"":7,""viewing_time"":13152},{""page_index"":8,""viewing_time"":3904}]","136216","instructions","1","160197","0.0-1.0","ABX5OQLR6UNBC","1650917453195","","","","","","","","","","","","","","","","",""
"","44192","darkroom-dig","2","204389","0.0-2.0-0.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","31631","darkroom-dig","3","236021","0.0-2.0-1.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","27191","darkroom-dig","4","263213","0.0-2.0-2.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","23711","darkroom-dig","5","286924","0.0-2.0-3.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""clickable-R0-X2-Y0"",""clickable-R1-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","23160","darkroom-dig","6","310086","0.0-2.0-4.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""clickable-R0-X2-Y0"",""clickable-R1-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","22615","darkroom-dig","7","332701","0.0-2.0-5.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X1-Y1"",""clickable-R0-X1-Y1"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","29487","darkroom-dig","8","362189","0.0-2.0-6.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X2-Y1"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map9.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","26263","darkroom-dig","9","388453","0.0-2.0-7.0","ABX5OQLR6UNBC","1650917453195","[""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
