"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":4010},{""page_index"":1,""viewing_time"":4273},{""page_index"":2,""viewing_time"":1220}]","9503","instructions","0","9504","0.0-0.0","ACGHHDT7RY1AH","1650917760638","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16105},{""page_index"":1,""viewing_time"":10988},{""page_index"":2,""viewing_time"":12141},{""page_index"":3,""viewing_time"":23745},{""page_index"":4,""viewing_time"":14246},{""page_index"":5,""viewing_time"":8664},{""page_index"":6,""viewing_time"":4142},{""page_index"":7,""viewing_time"":7978},{""page_index"":8,""viewing_time"":3059}]","101069","instructions","1","110573","0.0-1.0","ACGHHDT7RY1AH","1650917760638","","","","","","","","","","","","","","","","",""
"","54486","darkroom-dig","2","165061","0.0-2.0-0.0","ACGHHDT7RY1AH","1650917760638","[""clickable-R1-X0-Y1"",""clickable-R1-X1-Y1"",""clickable-R0-X0-Y1"",""clickable-R0-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","26309","darkroom-dig","3","191371","0.0-2.0-1.0","ACGHHDT7RY1AH","1650917760638","[""clickable-R0-X2-Y0"",""clickable-R0-X1-Y0"",""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","31551","darkroom-dig","4","222922","0.0-2.0-2.0","ACGHHDT7RY1AH","1650917760638","[""clickable-R0-X0-Y0"",""clickable-R0-X1-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","27211","darkroom-dig","5","250135","0.0-2.0-3.0","ACGHHDT7RY1AH","1650917760638","[""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","37125","darkroom-dig","6","287260","0.0-2.0-4.0","ACGHHDT7RY1AH","1650917760638","[""clickable-R0-X0-Y0"",""clickable-R0-X1-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map9.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","31488","darkroom-dig","7","318749","0.0-2.0-5.0","ACGHHDT7RY1AH","1650917760638","[""clickable-R1-X0-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","38187","darkroom-dig","8","356937","0.0-2.0-6.0","ACGHHDT7RY1AH","1650917760638","[""clickable-R1-X1-Y2"",""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map7.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","8233","darkroom-dig","9","365171","0.0-2.0-7.0","ACGHHDT7RY1AH","1650917760638","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map8.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
