"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":5437},{""page_index"":1,""viewing_time"":7304},{""page_index"":2,""viewing_time"":3513}]","16255","instructions","0","16255","0.0-0.0","ADJ9I7ZBFYFH7","1650919988198","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12854},{""page_index"":1,""viewing_time"":14376},{""page_index"":2,""viewing_time"":15633},{""page_index"":3,""viewing_time"":14111},{""page_index"":4,""viewing_time"":16120},{""page_index"":5,""viewing_time"":9648},{""page_index"":6,""viewing_time"":7016},{""page_index"":7,""viewing_time"":9521},{""page_index"":8,""viewing_time"":3287}]","102567","instructions","1","118822","0.0-1.0","ADJ9I7ZBFYFH7","1650919988198","","","","","","","","","","","","","","","","",""
"","28813","darkroom-dig","2","147638","0.0-2.0-0.0","ADJ9I7ZBFYFH7","1650919988198","[""clickable-R0-X1-Y0"",""clickable-R0-X2-Y2"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","25392","darkroom-dig","3","173030","0.0-2.0-1.0","ADJ9I7ZBFYFH7","1650919988198","[""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","22679","darkroom-dig","4","195710","0.0-2.0-2.0","ADJ9I7ZBFYFH7","1650919988198","[""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","true","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","21839","darkroom-dig","5","217550","0.0-2.0-3.0","ADJ9I7ZBFYFH7","1650919988198","[""clickable-R1-X0-Y1"",""clickable-R0-X0-Y1"",""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","25422","darkroom-dig","6","242973","0.0-2.0-4.0","ADJ9I7ZBFYFH7","1650919988198","[""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","24608","darkroom-dig","7","267583","0.0-2.0-5.0","ADJ9I7ZBFYFH7","1650919988198","[""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","9102","darkroom-dig","8","276685","0.0-2.0-6.0","ADJ9I7ZBFYFH7","1650919988198","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map5.png"",""img/map/m5/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","23385","darkroom-dig","9","300071","0.0-2.0-7.0","ADJ9I7ZBFYFH7","1650919988198","[""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map1.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
"[{""page_index"":0,""viewing_time"":13894}]","13895","instructions","10","313966","0.0-3.0","ADJ9I7ZBFYFH7","1650919988198","","","","","","","","","","","","","","","","",""
