"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":3955},{""page_index"":1,""viewing_time"":1492},{""page_index"":2,""viewing_time"":3518}]","8966","instructions","0","8967","0.0-0.0","AOIR8V07FYMH5","1650922597634","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9743},{""page_index"":1,""viewing_time"":13944},{""page_index"":2,""viewing_time"":14292},{""page_index"":3,""viewing_time"":18630},{""page_index"":4,""viewing_time"":7099},{""page_index"":5,""viewing_time"":8959},{""page_index"":6,""viewing_time"":10103},{""page_index"":7,""viewing_time"":4948},{""page_index"":8,""viewing_time"":4334}]","92052","instructions","1","101019","0.0-1.0","AOIR8V07FYMH5","1650922597634","","","","","","","","","","","","","","","","",""
"","18676","darkroom-dig","2","119696","0.0-2.0-0.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","14690","darkroom-dig","3","134387","0.0-2.0-1.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","30375","darkroom-dig","4","164763","0.0-2.0-2.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X2-Y1"",""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","15828","darkroom-dig","5","180591","0.0-2.0-3.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","18804","darkroom-dig","6","199396","0.0-2.0-4.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png"",""img/map/m5/map7.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","22159","darkroom-dig","7","221555","0.0-2.0-5.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","18984","darkroom-dig","8","240540","0.0-2.0-6.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png""]","true","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","13291","darkroom-dig","9","253831","0.0-2.0-7.0","AOIR8V07FYMH5","1650922597634","[""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
