"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":3690},{""page_index"":1,""viewing_time"":11099},{""page_index"":2,""viewing_time"":3302}]","18092","instructions","0","18093","0.0-0.0","AURYD2FH3FUOQ","1649897400401","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":19775},{""page_index"":1,""viewing_time"":21299},{""page_index"":2,""viewing_time"":77133},{""page_index"":3,""viewing_time"":13633},{""page_index"":4,""viewing_time"":8038},{""page_index"":5,""viewing_time"":8353},{""page_index"":6,""viewing_time"":6602},{""page_index"":7,""viewing_time"":9159},{""page_index"":8,""viewing_time"":3296}]","167288","instructions","1","185382","0.0-1.0","AURYD2FH3FUOQ","1649897400401","","","","","","","","","","","","","","","","",""
"","32398","darkroom-dig","2","217782","0.0-2.0-0.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","28554","darkroom-dig","3","246338","0.0-2.0-1.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R0-X0-Y1"",""clickable-R0-X1-Y2"",""clickable-R1-X0-Y0"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png""]","false","[0,2]","[0,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","36292","darkroom-dig","4","282631","0.0-2.0-2.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R1-X1-Y2"",""clickable-R1-X0-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","32910","darkroom-dig","5","315542","0.0-2.0-3.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R0-X1-Y1"",""clickable-R0-X1-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X1-Y1"",""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","30049","darkroom-dig","6","345594","0.0-2.0-4.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X2-Y1"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X2-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png""]","false","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","34805","darkroom-dig","7","380399","0.0-2.0-5.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R1-X1-Y1"",""clickable-R1-X2-Y2"",""clickable-R0-X1-Y1"",""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","40311","darkroom-dig","8","420712","0.0-2.0-6.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X1-Y1"",""clickable-R0-X0-Y0"",""clickable-R0-X1-Y1"",""clickable-R0-X1-Y0"",""clickable-R0-X2-Y2"",""clickable-R1-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map8.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","27469","darkroom-dig","9","448183","0.0-2.0-7.0","AURYD2FH3FUOQ","1649897400401","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X2-Y0"",""clickable-R1-X2-Y0"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map5.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map9.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
