"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":4802},{""page_index"":1,""viewing_time"":3414},{""page_index"":2,""viewing_time"":3084}]","11304","instructions","0","11306","0.0-0.0","AVPKE76DJLWK6","1650922050270","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":9657},{""page_index"":1,""viewing_time"":14891},{""page_index"":2,""viewing_time"":10071},{""page_index"":3,""viewing_time"":27479},{""page_index"":4,""viewing_time"":10373},{""page_index"":5,""viewing_time"":32197},{""page_index"":6,""viewing_time"":17937},{""page_index"":7,""viewing_time"":41151},{""page_index"":8,""viewing_time"":4989}]","168746","instructions","1","180053","0.0-1.0","AVPKE76DJLWK6","1650922050270","","","","","","","","","","","","","","","","",""
"","59510","darkroom-dig","2","239566","0.0-2.0-0.0","AVPKE76DJLWK6","1650922050270","[""clickable-R1-X0-Y1"",""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map8.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","38130","darkroom-dig","3","277697","0.0-2.0-1.0","AVPKE76DJLWK6","1650922050270","[""clickable-R1-X0-Y0"",""clickable-R1-X1-Y0"",""clickable-R1-X2-Y0"",""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[1,1]","[1,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","18079","darkroom-dig","4","295778","0.0-2.0-2.0","AVPKE76DJLWK6","1650922050270","[""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png""]","true","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","16118","darkroom-dig","5","311897","0.0-2.0-3.0","AVPKE76DJLWK6","1650922050270","[""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","14927","darkroom-dig","6","326826","0.0-2.0-4.0","AVPKE76DJLWK6","1650922050270","[""clickable-R1-X2-Y0"",""clickable-R0-X2-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map9.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png""]","false","[2,0]","[2,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","16147","darkroom-dig","7","342975","0.0-2.0-5.0","AVPKE76DJLWK6","1650922050270","[""clickable-R0-X1-Y0"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","11253","darkroom-dig","8","354231","0.0-2.0-6.0","AVPKE76DJLWK6","1650922050270","[""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png""]","true","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","23416","darkroom-dig","9","377648","0.0-2.0-7.0","AVPKE76DJLWK6","1650922050270","[""clickable-R0-X0-Y0"",""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map5.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png"",""img/map/m5/map8.png""]","false","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
