"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","clicks","mapList","match","sTarg","mTarg","xGrid","yGrid","maxTrans","maxPrize","primaryDec","surrogateDec","mapDir","revealSize","revealLoc","exploreDelay","degreesFree","seedArray"
"[{""page_index"":0,""viewing_time"":7154},{""page_index"":1,""viewing_time"":7403},{""page_index"":2,""viewing_time"":4103}]","18661","instructions","0","18661","0.0-0.0","AVQGY7FCU80XP","1650921780013","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":18256},{""page_index"":1,""viewing_time"":25648},{""page_index"":2,""viewing_time"":23167},{""page_index"":3,""viewing_time"":26810},{""page_index"":4,""viewing_time"":23195},{""page_index"":5,""viewing_time"":19326},{""page_index"":6,""viewing_time"":22339},{""page_index"":7,""viewing_time"":9106},{""page_index"":8,""viewing_time"":4469}]","172317","instructions","1","190979","0.0-1.0","AVQGY7FCU80XP","1650921780013","","","","","","","","","","","","","","","","",""
"","93255","darkroom-dig","2","284235","0.0-2.0-0.0","AVQGY7FCU80XP","1650921780013","[""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""clickable-R0-X2-Y1"",""clickable-R1-X2-Y1"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""clickable-R0-X1-Y1"",""clickable-R1-X1-Y1"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map1.png""]","true","[2,2]","[2,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.711,0.711]"
"","36300","darkroom-dig","3","320535","0.0-2.0-1.0","AVQGY7FCU80XP","1650921780013","[""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""clickable-R1-X1-Y2"",""clickable-R0-X1-Y2"",""jspsych-darkroom-nodig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.411,0.811]"
"","44917","darkroom-dig","4","365452","0.0-2.0-2.0","AVQGY7FCU80XP","1650921780013","[""clickable-R1-X2-Y1"",""clickable-R1-X2-Y2"",""clickable-R0-X2-Y1"",""clickable-R0-X2-Y2"",""clickable-R0-X1-Y2"",""clickable-R1-X1-Y2"",""clickable-R1-X0-Y2"",""clickable-R0-X0-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map7.png"",""img/map/m5/map7.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[2,1]","[2,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.358363,0.358363]"
"","57380","darkroom-dig","5","422833","0.0-2.0-3.0","AVQGY7FCU80XP","1650921780013","[""clickable-R1-X0-Y0"",""clickable-R0-X2-Y0"",""clickable-R0-X0-Y0"",""clickable-R1-X2-Y0"",""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""clickable-R1-X2-Y2"",""clickable-R0-X2-Y2"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map6.png"",""img/map/m5/map6.png""]","true","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.981639,0.981639]"
"","36344","darkroom-dig","6","459179","0.0-2.0-4.0","AVQGY7FCU80XP","1650921780013","[""clickable-R1-X0-Y0"",""clickable-R0-X0-Y0"",""clickable-R0-X0-Y2"",""clickable-R1-X0-Y2"",""clickable-R1-X0-Y1"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map6.png"",""img/map/m5/map2.png""]","false","[0,0]","[0,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.147354,0.147354]"
"","30433","darkroom-dig","7","489612","0.0-2.0-5.0","AVQGY7FCU80XP","1650921780013","[""clickable-R0-X0-Y0"",""clickable-R1-X0-Y0"",""clickable-R0-X0-Y1"",""clickable-R1-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png"",""img/map/m5/map2.png"",""img/map/m5/map2.png"",""img/map/m5/map1.png""]","false","[1,2]","[1,2]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.126442,0.126442]"
"","18197","darkroom-dig","8","507809","0.0-2.0-6.0","AVQGY7FCU80XP","1650921780013","[""clickable-R1-X0-Y1"",""clickable-R0-X0-Y1"",""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m0/map2.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map2.png"",""img/map/m5/map4.png"",""img/map/m5/map2.png"",""img/map/m5/map3.png"",""img/map/m5/map4.png"",""img/map/m5/map4.png"",""img/map/m5/map3.png""]","true","[0,1]","[0,1]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.054358,0.054358]"
"","22135","darkroom-dig","9","529944","0.0-2.0-7.0","AVQGY7FCU80XP","1650921780013","[""jspsych-darkroom-dig-btn""]","[""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map1.png"",""img/map/m0/map3.png"",""img/map/m0/map1.png"",""img/map/m0/map2.png"",""img/map/m0/map3.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map9.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map6.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png"",""img/map/m5/map3.png""]","false","[1,0]","[1,0]","3","3","0","20000","2000","1000","5","0","","2500","0","[0.813834,0.838225]"
